INFO 2026-07-07 19:22:04,999 log 18945 6178435072 "GET /tenants/api/v1/list/?limit=100&offset=0 HTTP/1.1" 200 673
INFO 2026-07-07 19:22:15,282 log 18945 6178435072 "GET /asset_categories/list/ui/ HTTP/1.1" 200 94501
INFO 2026-07-07 19:22:17,242 log 18945 6178435072 "GET /asset_categories/create/ HTTP/1.1" 200 99795
INFO 2026-07-07 19:22:21,841 log 18945 6178435072 "GET /asset_categories/list/ui/ HTTP/1.1" 200 94501
INFO 2026-07-07 19:22:26,150 log 18945 6178435072 "GET /assets/create/ HTTP/1.1" 200 108489
INFO 2026-07-07 19:22:26,180 log 18945 6178435072 "GET /static/build/assets/style-BAq5ZeeE.css HTTP/1.1" 304 0
INFO 2026-07-07 19:22:26,181 log 18945 6195261440 "GET /static/build/assets/style-BPO2v8lb.js HTTP/1.1" 304 0
INFO 2026-07-07 19:22:26,182 log 18945 6212087808 "GET /static/build/assets/app-BoFK0BJN.js HTTP/1.1" 304 0
INFO 2026-07-07 19:22:26,182 log 18945 6144782336 "GET /static/build/assets/app-C5Nj1jXJ.css HTTP/1.1" 304 0
INFO 2026-07-07 19:22:26,182 log 18945 6161608704 "GET /static/icons/close.svg HTTP/1.1" 304 0
INFO 2026-07-07 19:22:26,182 log 18945 6127955968 "GET /static/icons/dashboard.svg HTTP/1.1" 304 0
INFO 2026-07-07 19:22:26,245 log 18945 6144782336 "GET /static/icons/chevron-down.svg HTTP/1.1" 304 0
INFO 2026-07-07 19:22:26,245 log 18945 6212087808 "GET /static/icons/ticket.svg HTTP/1.1" 304 0
INFO 2026-07-07 19:22:26,252 log 18945 6212087808 "GET /static/icons/schedule.svg HTTP/1.1" 304 0
INFO 2026-07-07 19:22:26,255 log 18945 6127955968 "GET /static/icons/contract.svg HTTP/1.1" 304 0
INFO 2026-07-07 19:22:26,255 log 18945 6195261440 "GET /static/icons/map-seat.svg HTTP/1.1" 304 0
INFO 2026-07-07 19:22:26,255 log 18945 6161608704 "GET /static/icons/vehicle.svg HTTP/1.1" 304 0
INFO 2026-07-07 19:22:26,256 log 18945 6144782336 "GET /static/icons/refund.svg HTTP/1.1" 304 0
INFO 2026-07-07 19:22:26,256 log 18945 6178435072 "GET /static/icons/consignment.svg HTTP/1.1" 304 0
INFO 2026-07-07 19:22:26,256 log 18945 6212087808 "GET /static/icons/advance-mg-vehicle.svg HTTP/1.1" 304 0
INFO 2026-07-07 19:22:26,257 log 18945 6127955968 "GET /static/icons/hr.svg HTTP/1.1" 304 0
